	MeanVip	StdVip	MinVipLimitCI95	MaxVipLimitCI95	MeanRegCoefGroup:Group:A	MeanRegCoefGroup:Group:B	MeanRegCoefGroup:Group:C	MeanRegCoefGroup:Group:D	MeanRegCoefGroup:Group:E	StdRegCoefGroup:Group:A	StdRegCoefGroup:Group:B	StdRegCoefGroup:Group:C	StdRegCoefGroup:Group:D	StdRegCoefGroup:Group:E	CorrelationGroup:Group:A	CorrelationGroup:Group:B	CorrelationGroup:Group:C	CorrelationGroup:Group:D	CorrelationGroup:Group:E	CorrelationPvalueGroup:Group:A	CorrelationPvalueGroup:Group:B	CorrelationPvalueGroup:Group:C	CorrelationPvalueGroup:Group:D	CorrelationPvalueGroup:Group:E
Leucine	8.295822666e-01	8.198122991e-03	8.135139456e-01	8.456505877e-01	4.639769687e-02	8.565406380e-02	-2.084803624e-01	7.568826049e-02	7.403412114e-04	7.152623464e-03	3.582195668e-03	1.654891939e-02	1.553071736e-02	9.715889572e-03	6.612374035e-01	-3.061605248e-01	-4.756081064e-01	-2.661477740e-01	3.866790017e-01	6.944623737e-05	9.987897376e-02	7.899313815e-03	1.551426965e-01	3.478711922e-02
Glucose_6_phosphate	8.274255526e-01	9.612470100e-04	8.255415085e-01	8.293095968e-01	-9.096136375e-02	-5.299515146e-02	8.699663297e-02	-9.653453386e-02	1.534944161e-01	4.618991825e-03	3.327980718e-03	5.319474487e-03	3.618084033e-03	6.245192887e-03	4.552967480e-01	-3.768920309e-01	-3.768920309e-01	-3.768920309e-01	6.753793447e-01	1.146572148e-02	4.007146661e-02	4.007146661e-02	4.007146661e-02	4.225630110e-05
AMP	8.042827444e-01	3.651730932e-03	7.971253518e-01	8.114401370e-01	3.188910288e-02	1.067546471e-01	-1.384530598e-01	7.395570572e-02	-7.414639591e-02	2.238272983e-03	7.574383035e-05	1.163561351e-03	1.148033053e-03	2.150632169e-03	-5.705001104e-01	4.592261835e-01	2.879606217e-01	4.344884339e-01	-6.111751287e-01	9.954167371e-04	1.068645263e-02	1.228062988e-01	1.643040026e-02	3.335486589e-04
Phenylalanine	7.994901126e-01	1.318760235e-02	7.736424120e-01	8.253378132e-01	9.595150324e-02	-1.648478110e-02	-1.167514041e-01	1.124102377e-01	-7.512555578e-02	1.816083945e-03	1.110064123e-03	3.935505512e-03	5.743669836e-03	2.514074662e-03	5.831687355e-01	-4.434017960e-01	-3.580675902e-01	-1.386523517e-01	3.569530024e-01	7.190631844e-04	1.412074500e-02	5.203425589e-02	4.649614808e-01	5.282253351e-02
Succinate	7.980466923e-01	1.375076411e-03	7.953515425e-01	8.007418420e-01	-8.578158976e-02	2.707301491e-02	1.716310727e-01	-1.594966064e-01	4.657410849e-02	1.602694507e-03	1.017535801e-02	1.057067597e-02	1.168022050e-03	8.320215546e-04	-5.988727525e-01	3.813103777e-01	4.569809031e-01	3.383438338e-01	-5.777623621e-01	4.715087509e-04	3.761135408e-02	1.112608511e-02	6.742927220e-02	8.274471607e-04
Cholate	7.943177385e-01	1.726675739e-03	7.909334541e-01	7.977020230e-01	-3.021579409e-02	-8.719434499e-02	1.157544240e-01	-5.033505467e-02	5.199076972e-02	6.933466091e-04	3.343123192e-04	1.417598963e-03	1.951700094e-03	8.932209908e-04	3.504547357e-01	-1.160470249e-01	-3.211180165e-02	-1.089589559e-01	-9.333695313e-02	5.760787531e-02	5.414138664e-01	8.662267702e-01	5.665465430e-01	6.237249823e-01
Hypoxanthine	7.931027874e-01	1.030757939e-03	7.910825018e-01	7.951230730e-01	-6.313069127e-02	4.510882841e-02	-4.740798789e-02	-7.389697226e-02	1.393268230e-01	2.008312985e-03	4.911663201e-03	5.241691559e-03	1.269183421e-04	2.211693648e-03	5.368309945e-01	-4.000686138e-01	-4.000686138e-01	-4.000686138e-01	6.633748469e-01	2.224120266e-03	2.848330851e-02	2.848330851e-02	2.848330851e-02	6.452981344e-05
Isoleucine	7.877905148e-01	4.854416816e-04	7.868390491e-01	7.887419805e-01	7.170603539e-02	-1.289434515e-02	-1.181424553e-01	1.133309008e-01	-5.400013576e-02	1.099925463e-03	4.294516193e-03	2.398223968e-03	1.506280275e-03	7.085310622e-04	6.558497545e-01	-3.047396531e-01	-4.635106620e-01	-2.494727766e-01	3.618733373e-01	8.335436715e-05	1.015432568e-01	9.887961011e-03	1.836856090e-01	4.941253924e-02
Valine	7.720227893e-01	6.265302841e-04	7.707947900e-01	7.732507887e-01	3.671166895e-02	-1.358515310e-02	-4.344801837e-02	2.624556246e-02	-5.924059943e-03	1.301967224e-03	3.663169255e-03	4.962208534e-04	3.504848090e-03	1.639818170e-03	6.582786574e-01	-3.200283200e-01	-4.286280610e-01	-2.488607475e-01	3.392384711e-01	7.680326168e-05	8.469728947e-02	1.811342939e-02	1.847987376e-01	6.666198218e-02
Glutathione	7.660007440e-01	3.309922196e-03	7.595132965e-01	7.724881916e-01	-5.049711773e-02	2.640795953e-02	1.437798390e-01	-1.211633916e-01	1.472710742e-03	5.096860089e-03	3.571817660e-03	3.316223348e-03	8.827523719e-03	7.037742690e-03	-5.037599519e-01	3.010155197e-01	4.463102494e-01	2.725652792e-01	-5.161310963e-01	4.538117924e-03	1.060043604e-01	1.342840177e-02	1.450551508e-01	3.504289737e-03
Niacinamide	7.530123489e-01	8.647400317e-04	7.513174585e-01	7.547072394e-01	-3.819636704e-02	1.469433515e-02	1.580183325e-02	-1.011842760e-01	1.088844747e-01	1.679102887e-03	4.859705938e-03	6.839951130e-03	3.145568466e-03	2.844424549e-03	5.898848350e-01	-4.108092383e-01	-3.963737520e-01	-4.108092383e-01	6.281073936e-01	6.019066951e-04	2.412795632e-02	3.012175939e-02	2.412795632e-02	2.022184326e-04
Uracil	7.409129577e-01	1.773817957e-04	7.405652894e-01	7.412606260e-01	1.092893047e-01	1.584126277e-02	-1.888702283e-02	-3.257572436e-02	-7.366782027e-02	1.132966054e-03	3.750373786e-03	4.977168112e-03	7.723492059e-04	1.587611942e-03	6.959616621e-01	-3.874668247e-01	-3.874668247e-01	-3.874668247e-01	4.664388119e-01	1.951701082e-05	3.438747147e-02	3.438747147e-02	3.438747147e-02	9.371637359e-03
Glycine	7.261296035e-01	4.380120404e-03	7.175445675e-01	7.347146395e-01	-4.551140520e-02	-7.338916758e-02	5.941808019e-02	-2.819724878e-02	8.767974138e-02	3.667765532e-03	1.555129479e-03	1.062043544e-02	1.027023603e-02	4.872384437e-03	4.758971882e-01	-4.051535246e-01	-3.762196038e-01	-3.318661300e-01	6.373420702e-01	7.856279881e-03	2.634777629e-02	4.045692408e-02	7.319161468e-02	1.520039726e-04
Uridine	7.055508173e-01	1.980651156e-03	7.016687411e-01	7.094328936e-01	8.529050700e-02	2.528033725e-02	-9.613719334e-02	3.588218419e-02	-5.031583510e-02	3.878655364e-03	4.671307427e-03	7.918444680e-03	5.178267769e-03	5.809468382e-03	5.931985043e-01	-3.691831106e-01	-3.691831106e-01	-3.691831106e-01	5.143508274e-01	5.505495138e-04	4.467128337e-02	4.467128337e-02	4.467128337e-02	3.639261367e-03
Lysine	6.987154784e-01	7.628451038e-03	6.837637144e-01	7.136672425e-01	4.401246513e-02	3.871114927e-02	-2.962900849e-02	-3.441007711e-02	-1.868452880e-02	1.703781387e-03	6.334836901e-03	9.626647988e-03	4.901884471e-03	3.313856051e-03	5.772544088e-01	-3.237929605e-01	-3.786629018e-01	-3.716207326e-01	4.968221861e-01	8.383298209e-04	8.089770291e-02	3.907041401e-02	4.317344361e-02	5.224677034e-03
Maltose	6.374266810e-01	9.655424569e-03	6.185020488e-01	6.563513131e-01	7.595218762e-02	-2.703241521e-02	-2.018548100e-02	3.443553307e-02	-6.316982449e-02	6.987881029e-03	7.415897616e-03	2.033092711e-02	1.653132662e-02	1.060354386e-02	5.845191508e-01	-2.915465351e-01	-2.915465351e-01	-2.915465351e-01	2.901204545e-01	6.940184533e-04	1.180072482e-01	1.180072482e-01	1.180072482e-01	1.198988396e-01
